iter	Passed	Remaining
0	22	45657
1	44	44271
2	61	40701
3	82	41249
4	103	41467
5	123	41121
6	147	42022
7	167	41758
8	191	42277
9	211	42113
10	232	41978
11	255	42269
12	278	42495
13	297	42210
14	318	42210
15	339	42093
16	362	42258
17	382	42107
18	399	41611
19	421	41717
20	445	42028
21	466	41931
22	489	42083
23	508	41878
24	529	41850
25	552	41970
26	562	41095
27	584	41157
28	608	41363
29	629	41338
30	651	41361
31	668	41125
32	693	41343
33	711	41138
34	723	40636
35	746	40728
36	769	40830
37	787	40682
38	806	40553
39	827	40531
40	849	40569
41	869	40552
42	878	39979
43	895	39809
44	917	39848
45	934	39701
46	955	39720
47	973	39607
48	990	39420
49	1007	39291
50	1026	39227
51	1047	39253
52	1070	39313
53	1090	39293
54	1110	39270
55	1127	39147
56	1146	39091
57	1167	39099
58	1173	38609
59	1193	38604
60	1230	39108
61	1247	38984
62	1276	39237
63	1298	39293
64	1324	39425
65	1344	39383
66	1366	39432
67	1388	39444
68	1410	39459
69	1428	39380
70	1443	39231
71	1461	39130
72	1483	39165
73	1507	39232
74	1524	39140
75	1544	39111
76	1561	39008
77	1576	38852
78	1594	38771
79	1614	38737
80	1637	38799
81	1657	38761
82	1676	38715
83	1698	38748
84	1718	38720
85	1740	38736
86	1755	38596
87	1777	38619
88	1795	38548
89	1813	38494
90	1833	38456
91	1848	38337
92	1868	38311
93	1888	38295
94	1907	38247
95	1931	38300
96	1947	38214
97	1968	38211
98	1989	38200
99	2013	38254
100	2033	38240
101	2051	38178
102	2069	38107
103	2085	38013
104	2108	38057
105	2128	38039
106	2151	38066
107	2172	38053
108	2189	37986
109	2210	37978
110	2231	37983
111	2256	38037
112	2279	38062
113	2285	37816
114	2308	37838
115	2326	37783
116	2347	37783
117	2366	37750
118	2386	37725
119	2406	37702
120	2426	37680
121	2434	37476
122	2452	37428
123	2474	37438
124	2497	37469
125	2515	37417
126	2536	37406
127	2557	37403
128	2575	37348
129	2594	37323
130	2617	37342
131	2638	37337
132	2659	37333
133	2680	37329
134	2694	37226
135	2714	37203
136	2728	37098
137	2753	37150
138	2773	37132
139	2796	37154
140	2817	37143
141	2838	37143
142	2856	37089
143	2871	37015
144	2894	37033
145	2914	37009
146	2937	37028
147	2959	37031
148	2983	37067
149	3005	37063
150	3024	37041
151	3046	37042
152	3068	37043
153	3092	37070
154	3111	37032
155	3126	36951
156	3143	36905
157	3167	36923
158	3186	36896
159	3207	36890
160	3228	36882
161	3249	36870
162	3269	36846
163	3290	36836
164	3307	36783
165	3327	36765
166	3348	36755
167	3369	36747
168	3389	36718
169	3413	36750
